Method,Attempted,Precision,Recall,F1
,,,,
Refitted (with smoothing) AdaGram,99.91\%,0.799294221,0.798589687,0.798941799
Refitted (without smoothing) AdaGram,99.91\%,0.77415086,0.773468488,0.773809524
,,,,
Refitted (without smoothing) Greedy,79.95\%,0.7254685777,0.5799911855,0.6446240509
Refitted (with smoothing) Greedy,79.95\%,0.7965821389,0.6368444249,0.7078128827
Refitted (with smoothing) Greedy  + backoff,100\%,0.7928602909,0.7928602909,0.7928602909
,,,,
Mapped \cite{agirre2006} AdaGram,84.31\%,0.7762676424,0.6544733363,0.7101865136
Mapped \cite{agirre2006} AdaGram + Backoff,100\%,0.7774349934,0.7774349934,0.7774349934
,,,,
MFS baseline \cite{Navigli:2007:STC:1621474.1621480} ,100\%,0.7889,0.7889,0.7889
