Paper,Embedding,Similarity,rho,Uses Context,Smoothing,Use Prior,Smooth Prior
\cite{Huang2012},C \& W,S,0.57,n,,,
,Huang et al.,S,0.586,n,,,
,Huang et al.,AvgSim,0.628,n,,,
,Huang et al.,AvgSimC,0.657,y,,,
,Tf-idf,S,0.263,n,,,
,Prunedtf-idf,S,0.625,n,,,
,Prunedtf-idf,AvgSim,0.604,n,,,
,Prunedtf-idf,AvgSimC,0.605,y,,,
\hline,,,,,,,
,,,,,,,
This paper,AdaGram, AvgSimC,0.538424026,y, T, T , T
,AdaGram, AvgSimC,0.6217561033,y, T, T, F
,AdaGram, AvgSimC,0.3607130849,y, T, F,NA
,AdaGram, AvgSimC,0.4376926591,y, F, T,NA
,AdaGram, AvgSimC,0.2068642931,y, F, F,NA
,,,,,,,
,AdaGram, RefittedSim,0.6475371134,y, T, T, T
          ,AdaGram, RefittedSim,0.6168084979,y, T, T, F
          ,AdaGram, RefittedSim,0.6502712539,y, T, F,NA
          ,AdaGram, RefittedSim,0.4783287944,y, F, T,NA
,AdaGram, RefittedSim,0.2412615774,y, F, F,NA
,,,,,,,
,Greedy,RefittedSim (smoothed \& \& uniform prior),0.497038045,y,,,
,Greedy,RefittedSim (unsmoothed \& \& uniform prior),0.406756426,y,,,
,Greedy,AvgSimC (smoothed),0.249702529,y,,,
,Greedy,AvgSimC,0.222228482,y,,,
\hline,,,,,,,
\cite{Chen2014},Chen et al.,S,0.642,n,,,
,Chen et al.,AvgSim,0.662,n,,,
,Chen et al.,AvgSimC,0.689,y,,,
\hline,,,,,,,
\cite{iacobacci2015sensembed},SenseEmbed,Min Tanimoto Distance,0.589,y,,,
,SenseEmbed,Weighted Tanimoto Distances,0.624,y,,,
\hline,,,,,,,
\cite{tian2014probabilistic},Tian et al,AvgSimC,0.654,y,,,
,Tian et al,MaxSim,0.656,y,,,
